,ID,datetime,Acceleration x,Acceleration y,Acceleration z,Linear Acceleration x,Linear Acceleration y,Linear Acceleration z,Gyroscope x,Gyroscope y,Gyroscope z,La,Lo,He,V,D,Ho,VA,Magnetic field x,Magnetic field y,Magnetic field z,Weather,Temperature (Celsius),UV index,Wind (m/s),Humidity (%),hate-enjoy,bored-interested,absorbed,tiring-energizing,depressed-happy,bad-good_physically,sense_accomplishment
39,2.0,2023-06-09 10:54:26.741113,1.4992985292944583,1.8550537819437463,9.327493970512165,0.01595683420929127,-0.12816499344035984,-0.06887214877009398,0.010353270014747977,0.036033551581203936,0.039329126980155706,52.3986192836188,4.900742826469417,2.1608593944460153,0.949426760203125,121.21637470506668,4.76367115525186,4.76367115525186,-15.351991691589355,-18.264388961791994,-38.25989055633545,Sunny,21.0,5,16.0,63.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0
40,2.0,2023-06-09 10:54:36.741113,0.8810797851562501,2.8490314086914066,9.010877783203124,0.025718821238145444,-0.11972990487619202,-0.15218759488941422,-0.00973714007027816,0.00400998056197705,0.0013837762854735155,52.398551647002456,4.9009111884072585,2.464736748393625,1.1040607276311853,123.42039066395971,4.771594593850238,4.771594593850238,-15.055150230332176,-21.95551054548509,-37.2278401969683,Sunny,21.0,5,16.0,63.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0
41,2.0,2023-06-09 10:54:46.741113,0.6248496284107171,2.4091880873878404,9.248364955788793,0.024835414462584533,-0.08044946798741226,-0.0634158963083041,-0.021309236470277947,-0.005461583327787864,-0.009272890165448189,52.39849580270131,4.901060931733282,2.378023666422814,0.8048279990090264,123.24668263432602,4.761499064105449,4.761499064105449,-15.08086321613576,-19.238419938795637,-38.15451317966574,Sunny,21.0,5,16.0,63.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0
42,2.0,2023-06-09 10:54:56.741113,0.7356800464592358,1.989918873097637,9.404642944335938,0.007085302778989959,-0.09697287082450814,-0.10996877003424241,-0.040778287852385846,-0.005017308804142003,0.0005882864767261366,52.39843201397781,4.901229810226104,2.5046339344233273,1.0106866873382783,123.01705718131362,4.761844327694496,4.761844327694496,-15.451780659137386,-17.547446335896407,-39.68168594813583,Sunny,21.0,5,16.0,63.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0
43,2.0,2023-06-09 10:55:06.741113,0.6899434729849939,1.585969780648109,9.51663085635346,0.07340923961321823,-0.1908024812780321,-0.018234927928447723,-0.013100889006163925,0.02252792440354824,-0.024151046155020596,52.398369504317166,4.901412741700067,2.8553144011646507,1.048660653900342,121.74555173189893,4.760786316834158,4.760786316834158,-16.70969730377197,-15.804529418945313,-39.97136619567871,Sunny,21.0,5,16.0,63.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0
44,2.0,2023-06-09 10:55:16.741113,0.1015667907714844,0.6482075454711914,9.648351150512696,0.014839231773178169,-0.15180211158911933,-0.05016962554785288,-0.0031091356557784696,-0.006963365793108276,0.011368265329389879,52.398302676393754,4.901598458890173,2.3217286366969345,1.2038572040365945,122.61294439592794,4.773237851125342,4.773237851125342,-13.008527812391225,-11.9857655893458,-42.164411450376605,Sunny,21.0,5,16.0,63.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0
45,2.0,2023-06-09 10:55:26.741113,0.9909022793911472,0.854086788668491,9.533590143789159,0.05817277003743566,-0.1540783594619704,-0.1081237477123147,-0.0003653687083780175,0.015715108681838997,0.030828272831617015,52.39824032652243,4.90177126090242,1.9970188865438103,1.0795276792704045,122.05717379850383,4.784069327866054,4.784069327866054,-15.945343565232683,-13.562341520101716,-41.85112811551236,Sunny,21.0,5,16.0,63.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0
46,2.0,2023-06-09 10:55:36.741113,0.6181907034392404,1.7480396852398863,9.387941536478477,0.03985350852813758,-0.1419600418387073,-0.08677489180376032,-0.025494166243000712,-0.0462340316735208,-0.03389236943261458,52.398172913333994,4.9019627441276015,2.6055052772164347,1.209791074507161,118.94012485257831,4.7984671968810675,4.7984671968810675,-14.499024192885598,-17.431565615210204,-39.88186989208259,Sunny,21.0,5,16.0,63.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0
47,2.0,2023-06-09 10:55:46.741113,0.5032979410001548,1.0366181039338065,9.676757771709179,0.025250971109233786,-0.12978318003974854,-0.045249362450838104,-0.012546602925285697,0.03061432777903974,0.02659633904695511,52.39811938853494,4.902150872497206,0.814097156189382,0.9704781051206121,101.4542683837723,4.813516030516992,4.813516030516992,-16.955918579101564,-11.69035385131836,-41.54034950256348,Sunny,21.0,5,16.0,63.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0
48,2.0,2023-06-09 10:55:56.741113,0.15392491149902343,0.44228077239990243,9.697821775817872,-0.13019901993804345,-0.14413049147243034,-0.0558627525945701,-0.01626196976677321,0.008709660786582103,0.10819235091826113,52.398063108697514,4.902362589485558,0.7748784228228033,1.120221473244664,104.9772895808135,4.812603478903675,4.812603478903675,-19.162604058142936,-3.5023627706093365,-41.88626317694636,Sunny,21.0,5,16.0,63.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0
